av4566685	 「科技三分钟」Google欲打造医疗界的AlphaGo 中国广电成为第四大电信运营商 160505
av3690469	Google DeepMind Ground-breaking AlphaGo masters the game of
v_19rrkul9t8	李世石再负AlphaGo
av50571171	【碧蓝海事局】正面避激光！三船S胜绊爱联动Ex关Boss-KizunaAI Lv120！
u0518e88vb8	聂卫平：AlphaGo创新围棋定式 我对机器心生恐惧
av4053906	【带上你的眼睛】BB-8强势主持，AlphaGo vs 李世石人机对战，就是干！特邀嘉宾：阿缺
v_19rr7dlqn8	两局全输，柯洁对战alphago
av11340500	台湾媒体评价谷歌AlphaGo人工智能（不要再来伤害我）
av15224881	2017 梅卡德尔“AlphaGo”全国巡演宁波灯塔音乐站《无耳出品》
av42893388	【碧蓝航线】国服凛冬王冠EX高分集锦
id_XMzA5NzkzMTEyOA==	AlphaGo输了……输给了更强的AlphaGo!
av8765000	软件分析吴清源「十六六指之棋局」势力变化
q01878rv8ox	三分钟听DeepMind创始人谈AlphaGo
a0508010x5d	AlphaGo出现前的40年，世界围棋十大高手动态排名
av19240426	【碧蓝海事局】见识一下国服玩家最顶尖的手操技术吧！前排单船通关Extra图！
av9747013	AlphaGo V.S. 柯洁【人机大战第二季官方预告片】
av9283625	【范团视频】TechU：中国版 “AlphaGo” 击败日韩对手获围棋 AI 冠军
u0566k068w8	AlphaGo Zero不使用人类知识掌握围棋
v_19rr7700zs	柯洁三连败当场落泪 AlphaGo宣布退出围棋圈
id_XNDEwNjI2OTgwNA==	不努力连人机都打不过了，alphaGo插足电竞，职业选手称很强？
v_19rrbbwsoo	柯洁大战AlphaGo于5月下旬乌镇开打 三局定胜负
id_XMjcwMTc2MDY2NA==	每日科技 柯洁5月对决AlphaGo  网售霾表抽检全覆没.mp4
id_XMTc0NjEyODQ0OA==	人工智能AlphaGoVs李世石-论文配图培训三维动画制作-中科幻彩-幻彩宝宝
av17647635	【木鱼说 49】从深蓝到AlphaGo，那些战胜人类的软件和人工智能
av10889574	人机围棋团体赛 柯洁预测AlphaGo落子 遭众人嘲笑后秒打脸
id_XMzAzNzI0ODgyNA==	AlphaGo的胜利和早年深蓝战胜人类棋手背后有着什么天壤之别?
av9784265	柯洁迎战AlphaGo，人类棋手的尊严谁来捍卫？
v_19rr7cuiuc	柯洁完败于AlphaGo哽咽：它太完美
v_19rr9qyqd0	从ibm到alphago，人类开启人工智能新时代！
av12661295	【智能时代篇】VR与AI的发明者竟是同一人？从AlphaGo的胜利来寻找AI艰苦的发明史；正确提高手机逼格的方法第25期
v_19rr6z12mc	柯洁被AlphaGo让3个子 称不会再与人工智能对弈
av10924496	【油管搬运】4分鐘了解圍棋規則：柯潔輸給AlphaGo的1-4子是什麼意思
v_19rrbbw9h8	柯洁出战人工程序AlphaGo
y0507fbgyhk	围棋高手合力战AlphaGo
